step,train/loss,val/bpb,core_metric,total_training_time
13250,,0.9998824017776271,,81272.73019218445
13300,2.458845387949493,,,81584.78232121468
13400,2.552333164287723,,,82196.67148661613
13500,2.548884364403252,,,82808.82649827003
13600,2.394506261421181,,,83420.81746149063
13700,2.524351814630978,,,84032.87916088104
13750,,1.0034530079812656,,84332.77509379387
13800,2.3824779748252176,,,84644.79530572891
13900,2.534127866928899,,,85257.02069950104
14000,2.6463542533082314,,,85869.29656529427
14100,2.585679914910713,,,86482.30397725105
14200,2.539240625423415,,,87095.37161445618
14250,,0.9862209331147497,,87395.18100261688
14300,2.576530872872345,,,87707.44677686691
14400,2.5994765921992884,,,88320.1149532795
14500,,0.9842882991744307,,88926.2860713005
14600,2.5809324236001836,,,89544.44815468788
14700,2.579766392043836,,,90156.8822979927
14750,,0.9823517653001516,,90456.88752818108
14800,2.5195711049498386,,,90769.21860527992
14900,2.630087878369912,,,91381.79855775833
15000,2.530218761967866,,,91994.50560116768
15100,2.5316661356307693,,,92607.08795714378
15200,2.538786747097549,,,93219.56569194794
15250,,0.9787427375249044,,93519.89209866524
15300,2.5166917593313833,,,93832.2623128891
15400,2.5289664089614354,,,94444.97903585434
15500,2.5092850064183922,,,95057.05610871315
15600,2.5470757106750597,,,95669.63917994499
15700,2.5851507297181016,,,96335.98190379143
15750,,0.9745794135803019,,96635.21579098701
15800,2.525627116249513,,,96946.69670295715
15900,2.5706901905177535,,,97508.70551562309
16000,2.483010928895851,,,98168.72501969337
16100,2.552195154463508,,,98779.93188714981
16200,2.4884793531747067,,,99391.26849341393
16250,,0.9706726908460863,,99690.77568244934
16300,2.6504889814714776,,,100002.84318184853
16400,2.533512439303677,,,100614.47175979614
16500,2.525949112746763,,,101225.66595005989
16600,2.4381656521986326,,,101836.63717484474
16700,2.493626523141535,,,102447.64012360573
16750,,0.9671995829914549,,102747.09510064125
16800,2.3537513684044695,,,103058.75987529755
16900,2.353392686189186,,,103669.65517568588
17000,2.3336884672637925,,,104280.53855895996
17100,2.2736542081845803,,,104891.35127568245
17200,2.4186282827819343,,,105502.8047337532
17250,,0.9556359176942143,,105802.37681651115
17300,2.5668665685524505,,,106114.31130290031
17400,2.4843653869617683,,,106725.85892438889
17500,2.6237039374154287,,,107337.47740507126
17600,2.4836129623171965,,,107948.72643709183
17700,2.4960146299261177,,,108560.78483176231
17750,,0.950506710105448,,108860.91449832916
17800,2.492696786621544,,,109173.03938913345
17900,2.527773349859312,,,109784.88164997101
18000,,0.9488232386125918,,110390.50697231293
18100,2.513956351291825,,,111008.01912784576
18200,2.4441690837249395,,,111619.39523220062
18250,,0.9472014438531073,,111919.00670790672
18300,2.485087072572119,,,112230.99254202843
18400,2.4817328301590593,,,112842.39987158775
18500,2.439570525767688,,,113453.51063013077
18600,2.5285175304531347,,,114065.02439379692
18700,2.6035830165097504,,,114677.12528920174
18750,,0.9447037528145428,,114977.13794207573
18800,2.472840215000723,,,115289.0712659359
18900,2.4879287600038458,,,115900.85916948318
19000,2.417272699691968,,,116512.12648463249
19100,2.5274213527032177,,,117123.40030360222
19103,,,0.1896761059800265,
